,Surgeons,Hospitals,Avg Review,% Negative Outcome,Class,Predicted Class,Rating
0,Dr. Paul Louis Cammack,Baptist Medical Center South;,3.9379310344827587,27.7,2,3,1 star
1,Dr. Robert Cerfolio,UAB Hospital;,4.666086956521739,26.8,2,2,2 stars
2,Dr. Richard Lloyd Clay,Huntsville Hospital;,4.142857142857143,36.1,3,3,1 star
3,Dr. Evan Scott Cohen,Huntsville Hospital;,4.8590361445783135,17.9,2,1,3 stars
4,Dr. Barry Glen Crowe,East Alabama Medical Center;,4.0,26.8,2,3,1 star
5,Dr. Michael E. Damrich,Mobile Infirmary Medical Center;Providence Hospital (Mobile);,3.4523809523809526,50.9,3,3,1 star
6,Dr. Larkin Jeffrey Daniels,Mobile Infirmary Medical Center;Providence Hospital (Mobile);Springhill Medical Center;,4.578431372549019,25.3,2,2,2 stars
7,Dr. Edward R. Ferguson,Gadsden Regional Medical Center;North Mississippi Medical Center - Tupelo;Riverview Regional Medical Center;,3.7055555555555557,34.8,2,3,1 star
8,Dr. Shaf B. Holden,Huntsville Hospital;Providence Hospital (Mobile);Mobile Infirmary Medical Center;Springhill Medical Center;,4.1416666666666675,28.9,2,3,1 star
9,Dr. Steven F. Johnson,Southeast Alabama Medical Center;Flowers Hospital;,3.973076923076923,14.8,1,3,1 star
10,Dr. Stephen K. Kwan,Jackson Hospital (Montgomery);Baptist Medical Center South;,4.331818181818182,23.0,2,3,1 star
11,Dr. Stanley K. Lochridge,St. Vincent's East;,4.559375,18.5,2,1,3 stars
12,Dr. Douglas James Minnich,UAB Hospital;,4.4,32.5,2,2,2 stars
13,Dr. Barry Douglas Newsom,DCH Regional/Northport Medical Center;,4.75,16.2,1,1,3 stars
14,Dr. John Burnie Richardson,St. Vincent's Birmingham;St. Vincent's East;,4.95,21.1,2,1,3 stars
15,Dr. Lee Shefton Riggins,Princeton Baptist Medical Center;Shelby Baptist Medical Center;,4.6875,21.7,2,1,3 stars
17,Dr. Russell Scott Ronson,Brookwood Medical Center;Shelby Baptist Medical Center;Eliza Coffee Memorial Hospital;,4.0,31.2,2,3,1 star
18,Dr. William Ford Simpson,DCH Regional/Northport Medical Center;,4.3,28.3,2,3,1 star
19,Dr. Parvez K. Sultan,Trinity Medical Center (Birmingham);St. Vincent's Birmingham;St. Vincent's East;,3.7309523809523806,47.2,3,3,1 star
20,Dr. Gregory Allen Thomas,Shelby Baptist Medical Center;Princeton Baptist Medical Center;Brookwood Medical Center;,4.58448275862069,30.8,2,2,2 stars
22,Dr. Kenneth Anthony Ashton,John C. Lincoln Deer Valley Hospital;Osborn Medical Center;Shea Medical Center;Abrazo Arrowhead Campus;John C. Lincoln North Mountain Hospital;Banner Thunderbird Medical Center;St. Joseph's Hospital and Medical Center;Banner Estrella Medical Center;Banner Boswell Medical Center;Banner University Medical Center Phoenix;Flagstaff Medical Center;,4.052,27.9,2,3,1 star
23,Dr. Peter Cheung,Yuma Regional Medical Center;,4.634645669291338,19.5,2,2,2 stars
24,Dr. Patrick A. De Valeria,Mayo Clinic Hospital;,4.2733333333333325,17.5,1,2,2 stars
25,Dr. Hao Fang,Banner University Medical Center Phoenix;Flagstaff Medical Center;John C. Lincoln Deer Valley Hospital;Banner Estrella Medical Center;,4.15,15.3,1,2,2 stars
26,Dr. Andrew Goldstein,Phoenix Baptist Hospital;Shea Medical Center;Osborn Medical Center;Abrazo West Campus;,3.755,38.0,3,3,1 star
27,Dr. R. Randall Grace,John C. Lincoln North Mountain Hospital;Shea Medical Center;,4.454901960784314,24.6,2,1,3 stars
28,Dr. Jasmine L. Huang,St. Joseph's Hospital and Medical Center;,4.655555555555555,37.6,3,2,2 stars
29,Dr. Roger James Hucek,Banner Thunderbird Medical Center;Banner Boswell Medical Center;Abrazo West Campus;,4.625,31.8,2,1,3 stars
30,Dr. Dawn E. Jaroszewski,Mayo Clinic Hospital;,4.660416666666666,20.2,2,2,2 stars
31,Dr. Samuel Suk Kim,Banner-University Medical Center;,3.9375,17.7,2,2,2 stars
32,Dr. Elbert Yeung-Wei Kuo,St. Joseph's Hospital and Medical Center;,4.8,32.8,2,2,2 stars
33,Dr. Louis Angel Lanza,Mayo Clinic Hospital;,4.281818181818182,18.3,2,2,2 stars
34,Dr. Douglas G. Lowell,Tucson Medical Center;Carondelet St. Joseph's Hospital;,3.8759999999999994,22.9,2,3,1 star
36,Dr. Robert D. Riley,Shea Medical Center;Osborn Medical Center;Banner Boswell Medical Center;,4.615503875968992,23.0,2,2,2 stars
